ID,Area,Feature / Screen,Role,Test Steps,Expected Result,Priority,Status,Bug Notes
,,,,,,,,
,=== AUTH & ONBOARDING ===,,,,,,,
1,Auth,Sign Up — Student,Any,"Go to /sign-up. Enter email + password. Select 'Student' role on onboarding screen. Fill display name + university. Submit.",Account created. Redirected to /dashboard. sage_onboarded cookie set. Skill score = 0.,P1,,
2,Auth,Sign Up — Recruiter,Any,"Go to /sign-up. Enter email + password. Select 'Recruiter' role on onboarding screen. Fill company name. Submit.",Account created. Redirected to /recruiter. sage_role=RECRUITER cookie set.,P1,,
3,Auth,Sign Up — Instructor,Any,"Go to /sign-up. Enter email + password. Select 'Instructor' role on onboarding screen. Fill institution name. Submit.",Account created. Redirected to /classroom.,P1,,
4,Auth,Sign In,Any,"Go to /sign-in. Enter valid credentials. Submit.",Redirected to correct dashboard based on role (student → /dashboard  recruiter → /recruiter  instructor → /classroom).,P1,,
5,Auth,Sign In — Wrong Password,Any,"Go to /sign-in. Enter wrong password. Submit.",Error shown. Not logged in.,P1,,
6,Auth,Onboarding Skip Guard,Student,"While logged in but onboarding not complete  try to navigate to /dashboard.",Redirected back to /onboarding.,P1,,
7,Auth,Role Guard — Student blocked,Student,"Log in as Student. Try to navigate to /recruiter.",Redirected to /dashboard.,P1,,
8,Auth,Role Guard — Recruiter blocked,Recruiter,"Log in as Recruiter. Try to navigate to /labs.",Redirected to /recruiter.,P1,,
9,Auth,Sign Out,Any,"Click sign out from navbar or user menu.",Session cleared. Redirected to homepage or /sign-in.,P1,,
10,Auth,Unauthenticated page guard,Any,"While logged out  try to navigate to /dashboard.",Redirected to /sign-in.,P1,,
,,,,,,,,
,=== STUDENT DASHBOARD ===,,,,,,,
11,Dashboard,Dashboard loads,Student,"Log in as Student. Navigate to /dashboard.",Dashboard renders. Shows skill score  XP  recent activity  recommended labs.,P1,,
12,Dashboard,Skill score visible,Student,"After completing a lab  return to /dashboard.",Skill score has increased.,P1,,
13,Dashboard,XP displayed,Student,"Check the XP counter on dashboard.",XP matches total points earned from labs + simulations.,P1,,
14,Dashboard,Recommended labs shown,Student,"Check the recommended labs section.",Shows labs the student has NOT yet completed. Clicking navigates to the lab.,P2,,
15,Dashboard,Learning path progress,Student,"Enrol in a path. Complete one lab from it. Return to /dashboard.",Path progress card shows updated completion percentage.,P2,,
,,,,,,,,
,=== LABS — LIST ===,,,,,,,
16,Labs,Labs list page,Student,"Navigate to /labs.",All published labs visible. Each shows title  difficulty badge  points  and solved status.,P1,,
17,Labs,Solved badge,Student,"After completing a lab  navigate back to /labs.",The completed lab shows a 'Solved' or check badge.,P1,,
18,Labs,Difficulty badges,Student,"View /labs page.",Each lab shows the correct difficulty: EASY / MEDIUM / HARD / INSANE.,P2,,
,,,,,,,,
,=== LABS — INDIVIDUAL (repeat for each lab) ===,,,,,,,
19,Lab,Welcome CTF — loads,Student,"Navigate to /labs/welcome-ctf.",Lab UI renders. Task 1 visible and unlocked. Tasks 2 and 3 locked.,P1,,
20,Lab,Welcome CTF — Task 1 (Source recon),Student,"Open browser DevTools → Elements. Find the HTML comment. Enter SAGE{w3lc0me_t0_th3_r4nge}. Submit.",Task 1 marked complete. Task 2 unlocks. Score awarded.,P1,,
21,Lab,Welcome CTF — Task 2 (Base64),Student,"Decode U0FHRXtiNHNlNjRfaXNfbjB0X2VuY3J5cHRpMG59 with atob() or any decoder. Enter flag. Submit.",Task 2 marked complete. Task 3 unlocks.,P1,,
22,Lab,Welcome CTF — Task 3 (Hardcoded secret),Student,"Find SAGE{h4rdc0d3d_s3cr3ts_l34k} in the commit diff shown. Enter flag. Submit.",Task 3 marked complete. Room Complete banner shows all 3 flags.,P1,,
23,Lab,SQL Injection 101 — Task 1,Student,"Enter ' OR '1'='1 in the login field (Task 1). Submit.",Authentication bypass shown. Task 1 marked complete.,P1,,
24,Lab,SQL Injection 101 — Task 2 (UNION),Student,"Enter a UNION SELECT with 2+ columns (e.g. ' UNION SELECT 1  username--). Submit.",Products table shows union result. Task 2 complete. (Wrong column count should show a MySQL-style error.),P1,,
25,Lab,SQL Injection 101 — Task 2 (column error check),Student,"In Task 2  enter ' UNION SELECT 1-- (only 1 column). Submit.","Error message: 'The used SELECT statements have a different number of columns'. Task NOT marked complete.",P1,,
26,Lab,SQL Injection 101 — Task 3,Student,"Enter a boolean-based payload (e.g. ' AND 1=1-- or ' AND 1=2--). Submit.",Correct/incorrect output changes based on boolean. Task 3 complete.,P1,,
27,Lab,Network Forensics 101 — filter bar,Student,"Navigate to /labs/network-forensics-101. Use the IP filter and protocol dropdown.",Packet list filters correctly. Only matching rows visible. Footer updates count.,P1,,
28,Lab,Network Forensics 101 — click row,Student,"Click a packet row.",Row expands to show plain-English analysis of that packet.,P1,,
29,Lab,Network Forensics 101 — C2 highlight,Student,"Look at packets from/to 185.220.101.47.",Those rows are highlighted red regardless of active filter.,P1,,
30,Lab,Network Forensics 101 — complete all tasks,Student,"Answer all 3 tasks correctly.",All tasks marked complete. Room Complete banner shown.,P1,,
31,Lab,Phishing Analysis — header inspector,Student,"Navigate to /labs/phishing-analysis. Click each email header one by one.",Each clicked header expands analysis. Suspicious headers turn red with SUSPICIOUS badge.,P1,,
32,Lab,Phishing Analysis — answer form locked,Student,"Try to submit Task 1 without clicking all 4 suspicious headers.",Answer form not visible until all 4 suspicious headers are examined.,P1,,
33,Lab,Phishing Analysis — complete,Student,"Examine all suspicious headers then submit correct answer.",Task 1 complete. Tasks 2 and 3 unlock and complete normally.,P1,,
34,Lab,Windows Log Analysis — clickable events,Student,"Navigate to /labs/windows-log-analysis. Click each Event ID row.",Row expands to show event detail and MITRE ATT&CK technique. Clicking again collapses.,P1,,
